#,method,A1,A2,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,A3_10,A3_11,A3_12,A3_13,A3_14,A3_15,A3_16,A3_17,A3_18,A3_19,A3_20,A3_21,A3_22,A3_23,A3_24,A3_25,A3_26,A3_27,A3_28,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A4_10,A4_11,A4_12,A4_13,A4_14,A4_15,A4_16,A4_17,A4_18,A4_19,A4_20,A4_21,A4_22,A4_23,A4_24,A4_25,A4_26,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A7_1,A7_2,A7_3,A7_4,A7_5,A7_6,A7_7,A7_8,A7_9,A7_10,A7_11,A7_12,A7_13,A7_14,A7_15,A7_16,A7_17,A7_18,B1_1,B1_2,B2,B3,B4_1,B4_2,B5,B6,B7,B8_1,B8_2,B8_3,B8_4,B8_5,B8_6,B8_7,B8_8,B8_9,B8_10,B8_11,B8_12,B8_13,B8_14,B9_1,B9_2,B9_3,B9_4,B9_5,B9_6,B9_7,B9_8,B9_9,B9_10,B9_11,B9_12,B9_13,B9_14,B9_15,B9_16,B9_17,B9_18,B9_19,B10_1,B10_2,B10_3,B10_4,B10_5,B10_6,B10_7,B10_8,B10_9,B10_10,B10_11,B10_12,B10_13,B10_14,B10_15,B10_16,B10_17,B10_18,B10_19,B10_20,B10_21,B10_22,B10_23,B10_24,B10_25,B10_26,B10_27,B10_28,B11_1,B11_2,B11_3,B11_4,B11_5,B11_6,B11_7,B11_8,B11_9,B11_10,B11_11,B11_12,B11_13,B11_14,B11_15,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B12_7,B12_8,B12_9,B12_10,B12_11,B12_12,B12_13,B12_14,B12_15,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_1,C31_2,C31_3,C31_4,C32,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D1_11,D1_12,D1_13,D1_14,D1_15,D1_16,D1_17,D1_18,D1_19,D1_20,D1_21,D1_22,D1_23,D1_24,D1_25,D1_26,D2_1,D2_2,D2_3,D2_4,D2_5,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F1_10,F1_11,F1_12,F1_13,F1_14,F1_15,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F2_8,F2_9,F2_10,F2_11,F2_12,G1,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,G4_1,G4_2,G4_3,G4_4,G4_5,G4_6,G4_7,G4_8,G5,G6,G7,G8_1,G8_2,G8_3,G8_4,G8_5,G8_6,G8_7,G8_8,G8_9,H1,H2,H3,H4,H5,H6_1,H6_2,H6_3,H6_4,H6_5,H7,H8,H9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,7,7,5,6,11,5,5,11,11,5,4,5,7,6,6,5,4,7,5,4,5,5,5,4,5,5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,4,5,4,5, ,6,5,5,4,2,4,6,5,5,5,4,4,4,5,5,5,5,6,5,4,5,5,4,5,4,6,4,3,5,5,5,5,5, ,5,5,4,6,6,4,4,5,5,5,6,5,6,5,5,5,5,5,5,5,5,12,12,12,12,12,3,5,5,4,5,5,5,4,5,11,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,11,1,3,4,4,3,1,3,3,2,4,4,14,11,2,,,0,0,1,0,1,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,4,4,4,4,4,4,4,5,3,3,5,4,3,2,3,4,6,10,8,3,3,3,2,3,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,2,2,3,3,2,2,2,3,3,2,2,3,2,1,1,5,3,2,2,2,3,2,2,11,11,11,11,11,2,2,2,11,2,2,11,11,2,2,2,2,2,2,2,2,4,2,11,11,2,2,2,2,2,2,2,12,12,12,12,12,4,2,2,2,2,2,2,2,2,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,3,3,3,4,4,4,4,3,3,4,4,9,1,1,2,0,0,0,1,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,5,3,7,5,5,4,3,3,10,2,1,4,4,4,1,2,5,8,3,3,2,2,2,2,2,5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,2,3,3,3,4,2,5,5,4,2, ,5,5,6,3,6,1,3,4,4,5,4,5,5,4,4,2,4,3,3,3,1,3,4,4,2,5,3,3,4,4,3,5,4,1,4,3,5,4,5,4,5,2,2,3,3,3,3,2,3,2,3,3,4,2,3,3, ,4,3,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,1,3,3,4,4,4,4,4,4,4,4,17,2,2,,,1,0,0,0,0,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,9,9,8,9,11,7,7,8,9,5,3,5,7,3,6,11,11,4,3,1,4,3,11,11,4,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,11,3,5,11,7,2,3,3,2,3,11,4,11,11,3,4,11,3,3,8,11,4,4,11,6,11,11,11,3,9,9,5,6,11,11,11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,12,12,12,6,12,5,3,3,7,7,6,5,2,4,6,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,1,4,4,3,4,4,4,4,4,4,4,14,4,2,,,1,0,0,0,0,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10,10,11,7,6,6,4,6,7,6,6,6,9,9,4,4,4,9,4,2,4,3,6,11,6,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,5,4,4,4,3,3,4,2,4,4,4,5,5,6,6,4,6,2,5,3,8,3,6,4,6,3,6,11,4,8,7,8,7,11,11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,7,6,6,7,12,4,4,4,5,6,4,7,1,4,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,4,3,4,4,4,4,4,4,4,4,14,4,2,,,1,0,0,0,0,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,2,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,7,7,7,9,9,8,7,8,7,7,6,7,6,6,6,7,4,10,4,6,5,7, ,11,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,8,6,7,3,9,7,7,8,7,6,9,8,7,5,7,5,7,5,5,6,5,5,7,5,7,6,5,6,4,6,7,8,7,11,11,11,11,11,11,11,11,11,11,11,11,5,11,11,11,11,11,11,11,11,11,11,7,9,8,8,9,9,7,8,5,5,7,7,5,7,9,2,6,8,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,1,4,3,4,4,4,4,4,4,4,4, ,1,2,,,1,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,5,8,11,9,7,7,10,8,8,1,2,5,6,1,6,8,7,1,5,7,7,11,8,6,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,6,7,7,9,5,8,6,8,5,7,9,8,6,7,8,9,5,5,7,6,5,5,8,8,8,6,7,5,8,9,10,10,11,11,11,11,11,11,11,11,11,11, ,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,8,7,8,11,5,6,7,9,9,9,9,6,7,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,4,4,4,4,4,4,4,4,4,4,14,1,2,,,1,0,0,0,0,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2,1,1,3,3,1,2,1,2,3,5,3,1,2,2,2,5,2,1,1,1,11,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,11,3,2,10,3,2,1,5,11,11,2,2,11,1,2,11,8,11,3,11,2,11,11,2,11,4,11,11,11,11,11,2,11,4,6,11,2,11,1,11,11,11,5,11,2,2,2,3,3,11,1,3,1,2,4,1,11,11,12,12,12,12,12,3,5,1,11,6,6,1,11,1,11,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,1,3,4,4,4,4,4,4,4,4,4,14,9,2,,,0,1,1,0,0,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,8,6, ,11,11,8,9,9,9,8,9,5,5,7,7,8,9,8,4,3,3,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,11,11,5,5,6,11,6,8,4,11,4,5,11,6,7,11,11,3,4,4,11,11,11,5,6,11,11,11,6,7,7,7,7,11,11,11,5,6,6,7,9,9,9,9,8,6,9,9,7,6,7,7,9,6,4,6,8,6,6,12,12,12,12,12,3,6,11,11,11,11,11,11,11,7,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , ,8,1,3,3,4,4,3,4,4,3,4,4,17,22,2,,,0,1,0,0,1,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,10,10,10,10,8,9,10,10,10,9,8,8,8,9,7,7,8,7,10,8,10,9,10,9,9,9,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,8,8,9,9,10,9,9,9,10,9,8,9,9,9,8,9,9,7,10,10,10,10,8,9,10,9,9,8,9,9,9,9,8,7,9,8,9,9,8,8,9,9,9,9,9,8,9,8,9,9,8,8,8,7,8,9,8,9,8,8,8,8,9,8,1,9,9,8,9,9,9,8,7,8,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,8,1,1,1,1,1,2,3,3,3,3,2,5,15,1,1,2,0,0,0,1,0,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,8,9,10,10,10,8,8,10,9,9,9,9,7,5,7,7,7,8,9,9,9,9,9,9,7,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,7,7,7,8,7,8,11,11,11,11,11,11,11,8,8,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,9,11,9,11,12,12,12,12,12,3,11,9,9,9,10,9,11,11,9,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,3,3,3,4,3,3,3,3,3,4,11,21,1, ,1,0,0,0,1,0,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,10,10, , , , , , , , , , , , , , , , ,2, ,4, ,4, ,11,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5,5,3, , ,10,11,4,11, , , , , , , , , , , , , , , , , , , ,11, , , , ,10,11,11,11,11, , , , , , , , , , , , , , , , , , , , , , ,12, , , , ,5,11, , , , , , , , ,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11, ,4,4,4, , , , , , , ,14,9,2,,,1,0,0,0,0,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,5,4,4,4,2,5,4,6,7,7,6,7,7,2,7,3,2,10,10,10,10,8,8,10,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,6,3,2,9,2,7,5,8,7,2,11,7,4,9,9,11,7,5,5,3,8,11,9,4,4,6,6,7,5,11,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,11,6,6,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,2, , , , , , , , ,17,23,2,,,1,0,0,0,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2,3,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,6,5,4,4,4,2,5,2,5,1,5,5,9,7,5,5,4,5,4,1,2,2,11,11,11,11,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,3,6,5,11,5,6,11,11,11,11,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,1,3,4,4,4,4,4,4,4,4,4,18,12,2,,,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,4,5,5,5,5,5,5,5,4,5,4,5,4,5,6,4,5,1,6,6,7,11,6,5,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,6,6,6,6,5,6,11,6,11,6,6,6,6,10,11,11,1,11,6,11,11,6,6,6,6,4,4,6,6,6,11,11,6,7,6,1,6,6,6,5,12,12,12,12,12,3,5,4,3,5,5,1,1,5,6,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,3,1,1,1,4,4,4,4,4,4,17,23,2,,,1,1,0,0,0,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,8,5,10,10,10,10,9,8,8,6,6,6,5,5,7,7,8,10,6,10,10,10,11,10,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,10,9,8,8,8,10,10,8,10,10,10,11,11,10,10,10,10,10,10,11,10,10,10,10,7,7,10,11,11,8,10,11,11,11,10,11,11,11,11,11,11,11,10,10, ,10,11,11,11,11,10,11,11,10,10,11,11,11,11,11,11,12,10,10,10,12,1,10,10,10,10,10,10,11,10,10,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8,1,3,4,4,4,4,3,3,4,2,4,4,11,1,1,2,0,0,1,0,0,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
